"Kontrat","GÖEM","GÝEM","GEEM","TOPLAM"
"GG20200227","4.976","200","252","5.428"
"GG20200228","6.674","362","253","7.289"
"GG20200229","4.667","8","355","5.030"
"GG20200301","4.271","1.078","618","5.967"
"GG20200302","3.597","748","153","4.498"
"GG20200303","5.265","0","403","5.668"
"GG20200304","5.746","50","148","5.944"
"GG20200305","5.275","148","616","6.039"
"GG20200306","3.487","254","784","4.525"
"GG20200307","6.671","17","127","6.815"
"GG20200308","2.238","250","638","3.126"
"GG20200309","3.005","204","670","3.879"
"GG20200310","2.342","1.354","855","4.551"
"GG20200311","4.355","215","468","5.038"
"GG20200312","6.617","25","415","7.057"
"GG20200313","3.095","211","217","3.523"
"GG20200314","3.432","165","293","3.890"
"GG20200315","4.370","177","473","5.020"
"GG20200316","4.184","488","755","5.427"
"GG20200317","7.202","503","507","8.212"
"GG20200318","13.708","328","730","14.766"
"GG20200319","4.391","684","663","5.738"
"GG20200320","5.262","0","555","5.817"
"GG20200321","5.734","0","131","5.865"
"GG20200322","2.733","70","277","3.080"
"GG20200323","4.119","240","217","4.576"
"GG20200324","5.105","125","284","5.514"
"GG20200325","1.582","170","353","2.105"
"GG20200326","5.123","100","619","5.842"
"GG20200327","2.945","10","225","3.180"
"GG20200328","3.522","0","352","3.874"
"GG20200329","2.162","85","802","3.049"
"GG20200330","14.573","70","330","14.973"
"GG20200331","11.027","106","246","11.379"
"GG20200401","2.239","90","522","2.851"
"GG20200402","2.975","190","531","3.696"
"GG20200403","1.934","440","241","2.615"
"GG20200404","2.693","180","252","3.125"
"GG20200405","990","629","157","1.776"
"GG20200406","2.825","562","144","3.531"
"GG20200407","1.685","50","144","1.879"
"GG20200408","1.256","217","364","1.837"
"GG20200409","1.531","200","387","2.118"
"GG20200410","1.150","1.191","446","2.787"
"GG20200411","3.824","44","564","4.432"
"GG20200412","1.510","218","426","2.154"
"GG20200413","1.621","800","832","3.253"
"GG20200414","1.390","435","923","2.748"
